text,intent,label_id
help! i need to cancel a transaction.,cancel_transfer,9
"i have to transfer money over to my mother, and i have tried numerous times and all that keeps happening is error messages.",beneficiary_not_allowed,8
my transfer is pending.,balance_not_updated_after_bank_transfer,6
"someone stole my phone, what is my next step?",lost_or_stolen_phone,43
did i do something incorrectly? where is my top-up?,pending_top_up,48
can i cancel a charge?,cancel_transfer,9
why is my cash still pending that i put in atm?,pending_cash_withdrawal,47
i would like to report an issue with my product and want to get it refunded,request_refund,52
a refund for a recent return has not arrived on my card.,Refund_not_showing_up,0
a duplicated payment was made for something.,transaction_charged_twice,63
how can i choose between visa and mastercard?,visa_or_mastercard,73
i got a message that my transfer is not possible. what is happening? i need this to go through please.,beneficiary_not_allowed,8
where do i request a disposable virtual card?,get_disposable_virtual_card,38
i don't understand why i was charged extra for withdrawing money?,cash_withdrawal_charge,20
"my transfer failed, why?",failed_transfer,36
have you sent out my card yet?,card_arrival,12
where can i order a card when i am in china?,card_about_to_expire,10
i sent payment with eu transfer and they still haven't received it. how long does it take?,pending_transfer,49
i cannot activate my card.,activate_my_card,1
i have used this account overseas recently. has there been an increase in fees that i am unaware of?,transfer_fee_charged,64
how many disposable cards per day am i allowed to have?,disposable_card_limits,30
"it's been two weeks and i haven't gotten my card, what do i do?",card_arrival,12
my statement has a dollar i have been charged showing up on it.,extra_charge_on_statement,35
"who do i talk to, to cancel a transfer?",cancel_transfer,9
the top-up verification code is missing,verify_top_up,71
why is my card not working?,card_not_working,15
there is money in my account that i didnt put there,cash_withdrawal_not_recognised,21
when should i expect to receive my card?,card_delivery_estimate,13
where do i change my pin?,change_pin,22
i don't know where a direct debit payment came from,direct_debit_payment_not_recognised,29
shopping on line i was declined when trying to buy something.,declined_transfer,28
when i'm traveling is it possible to add money automatically at certain time points?,automatic_top_up,5
"could i reactivate my card please, i couldn't find it but it turns out it was in my jacket pocket.",card_linking,14
why did my payment get declined?,declined_transfer,28
double check your funds may be declined,declined_transfer,28
"i couldn't use my contactless this morning, it wasn't accepted.",contactless_not_working,24
what do i have to do to prove my identity?,unable_to_verify_identity,68
do i get to have one of those virtual cards i've heard about?,getting_virtual_card,41
"i want to reactivate my card, i found it after thinking it was lost.",card_linking,14
are there limits to businesses that will accept this card?,card_acceptance,11
is there a location where i can change my pin?,change_pin,22
what are the limits for disposable virtual cards?,disposable_card_limits,30
i bought something in a foreign currency but the rate applied is wrong!,card_payment_wrong_exchange_rate,18
i withdrew cash and dont see it reflected on the balance,pending_cash_withdrawal,47
i'd like to transfer funds using my credit card.,topping_up_by_card,62
how do you determine your exchange rates because one of yours was off when i got cash,wrong_exchange_rate_for_cash_withdrawal,76
is it possible to exchange usd and gbp on the app?,exchange_via_app,34
i made a transfer from my uk account a couple of hours ago. could you please make sure everything went alright.,balance_not_updated_after_bank_transfer,6
i think the top up failed,top_up_failed,59
"it looks like someone else withdrew cash from my account, can you help?",cash_withdrawal_not_recognised,21
how can i change my pin without going to the bank?,change_pin,22
can i exchange currency to europe?,fiat_currency_support,37
what's my pin number?,get_physical_card,39
"i need your help to check my account, please! my card keeps being declined at the atm, and i've already tried two different ones!",declined_cash_withdrawal,27
i think i see a withdraw i did not make.,cash_withdrawal_not_recognised,21
some cash shows up on my app.,cash_withdrawal_not_recognised,21
why has my transfer not arrived yet?,transfer_not_received_by_recipient,66
my account isn't showing a transfer i made.,balance_not_updated_after_bank_transfer,6
will i need a new card or can i put my old card back into the app?,card_linking,14
how long will it take to refund me,Refund_not_showing_up,0
during the last month i used this account to make payments for my place abroad. i noticed the fees have increased and i wonder why. shouldn't frequent users have less fees as incentive to keep using instead of increasing them out of nowhere?,transfer_fee_charged,64
my top up hasn't gone through,pending_top_up,48
delete this account!,terminate_account,55
i thought i was going to receive more currency?,wrong_exchange_rate_for_cash_withdrawal,76
why wouldnt the atm give me money,declined_cash_withdrawal,27
i've just been married and need to update my name,edit_personal_details,31
atm refused to give me money,declined_cash_withdrawal,27
is it normal to get charged extra when i use my card?,card_payment_fee_charged,16
how do i go about ordering a card?,order_physical_card,44
i made a check deposit but the cash hasn't arrived in my account yet.,balance_not_updated_after_cheque_or_cash_deposit,7
can you explain why the atm is giving me less money than what i asked for?,wrong_amount_of_cash_received,75
how's the exchange rate looking right now?,exchange_rate,33
would i need to pay extra for exchanging currencies?,exchange_charge,32
how do i fix a broken card?,card_not_working,15
please tell me the types of currency i can hold.,fiat_currency_support,37
i transfered and yet it is still pending,pending_transfer,49
do you know why my card payment has been declined?,declined_card_payment,26
could my daughter open an account?,age_limit,2
are transfers to a beneficiary possible,beneficiary_not_allowed,8
"after reviewing my charges, i see i was charged a fee for a transfer i did, why?",transfer_fee_charged,64
i was needing you to see if the exchange rate is correct from when i got cash,wrong_exchange_rate_for_cash_withdrawal,76
in the past month i often used this account to manage payments for my new holiday villa. now all of a sudden your fees have increased exorbitantly! don't you have a rewards programme for frequent users?,transfer_fee_charged,64
can you tell me exactly what fees i will expect to see in regards to your cards?,order_physical_card,44
do i have to wait to get the pin or can i set up a pin,get_physical_card,39
my google pay seems to be acting up.,apple_pay_or_google_pay,3
how long is the wait for a us transfer?,transfer_timing,67
can you look to make sure the exchange rate is correct,wrong_exchange_rate_for_cash_withdrawal,76
i believe someone is using my card without my agreement!,compromised_card,23
the atm keeps declining my card! i tried two different atms already can you please check if everything is alright with my account??,declined_cash_withdrawal,27
what does it mean when it says i have a payment pending?,pending_card_payment,46
my account is showing a double charge.,transaction_charged_twice,63
how come i can see an extra charge for my transfer?,transfer_fee_charged,64
how would you use a disposable card?,get_disposable_virtual_card,38
this company sucks! can you terminate my account?,terminate_account,55
my card payment won't work.,declined_card_payment,26
"hi, i sent a payment to the wrong account number - can you cancel it as soon as possible?",cancel_transfer,9
